opt_level,wasm_opt,lto,codegen_units,strip,panic,build_time,wasm_opt_time,size,size_gzipped,frame_time
S,None,Off,One,None,Unwind,142.17924,0,38742648,9186515,27.48
S,S,Off,One,None,Unwind,142.17924,87.31963,24495631,7373754,28.17
S,Z,Off,One,None,Unwind,142.17924,90.48591,22122197,7318161,26.49
S,Three,Off,One,None,Unwind,142.17924,92.918274,25006615,7438226,27.28
S,Both,Off,One,None,Unwind,142.17924,89.04556,24495631,7373754,27.76
S,None,Off,One,None,Abort,139.44301,0,38743635,9185474,27.5
S,S,Off,One,None,Abort,139.44301,88.46207,24490563,7373355,27.79
S,Z,Off,One,None,Abort,139.44301,92.85298,22122546,7317921,27.45
S,Three,Off,One,None,Abort,139.44301,93.19627,25003658,7438074,27.28
S,Both,Off,One,None,Abort,139.44301,88.68843,24490563,7373355,27.74
S,None,Off,One,DebugInfo,Unwind,138.11317,0,38742648,9186515,27.84
S,S,Off,One,DebugInfo,Unwind,138.11317,92.705605,24495631,7373754,27.21
S,Z,Off,One,DebugInfo,Unwind,138.11317,92.08463,22122197,7318161,26.38
S,Three,Off,One,DebugInfo,Unwind,138.11317,92.41329,25006615,7438226,26.92
S,Both,Off,One,DebugInfo,Unwind,138.11317,88.5237,24495631,7373754,25.06
S,None,Off,One,DebugInfo,Abort,137.2229,0,38743635,9185474,27.5
S,S,Off,One,DebugInfo,Abort,137.2229,86.52056,24490563,7373355,27.92
S,Z,Off,One,DebugInfo,Abort,137.2229,89.97112,22122546,7317921,27.09
S,Three,Off,One,DebugInfo,Abort,137.2229,93.16063,25003658,7438074,26.62
S,Both,Off,One,DebugInfo,Abort,137.2229,89.40881,24490563,7373355,27.66
S,None,Off,Default,None,Unwind,86.55143,0,59361166,11668983,31.99
S,S,Off,Default,None,Unwind,86.55143,171.66362,31411367,8399125,32.83
S,Z,Off,Default,None,Unwind,86.55143,181.53206,28211752,8335160,30.69
S,Three,Off,Default,None,Unwind,86.55143,183.91162,32511341,8662696,31.71
S,Both,Off,Default,None,Unwind,86.55143,177.39743,31411367,8399125,31.57
S,None,Off,Default,None,Abort,87.00876,0,59354952,11666291,31.55
S,S,Off,Default,None,Abort,87.00876,177.0936,31405560,8393617,32.53
S,Z,Off,Default,None,Abort,87.00876,180.12846,28203132,8326400,30.59
S,Three,Off,Default,None,Abort,87.00876,191.17201,32506557,8656676,30.07
S,Both,Off,Default,None,Abort,87.00876,173.23831,31405560,8393617,31.91
S,None,Off,Default,DebugInfo,Unwind,84.97656,0,59361166,11668983,32.83
S,S,Off,Default,DebugInfo,Unwind,84.97656,176.87251,31411367,8399125,30.83
S,Z,Off,Default,DebugInfo,Unwind,84.97656,183.13713,28211752,8335160,31.57
S,Three,Off,Default,DebugInfo,Unwind,84.97656,180.48691,32511341,8662696,29.98
S,Both,Off,Default,DebugInfo,Unwind,84.97656,183.7119,31411367,8399125,31.17
S,None,Off,Default,DebugInfo,Abort,84.042854,0,59354952,11666291,30.99
S,S,Off,Default,DebugInfo,Abort,84.042854,177.57915,31405560,8393617,32.6
S,Z,Off,Default,DebugInfo,Abort,84.042854,181.27692,28203132,8326400,31.35
S,Three,Off,Default,DebugInfo,Abort,84.042854,183.432,32506557,8656676,31.51
S,Both,Off,Default,DebugInfo,Abort,84.042854,170.81337,31405560,8393617,30.6
S,None,Thin,One,None,Unwind,164.67184,0,38830588,9051616,26.58
S,S,Thin,One,None,Unwind,164.67184,83.81839,25185305,7441313,26.97
S,Z,Thin,One,None,Unwind,164.67184,83.76119,22589786,7373034,25.74
S,Three,Thin,One,None,Unwind,164.67184,85.80199,25206246,7453559,26.18
