opt_level,wasm_opt,lto,codegen_units,strip,panic,build_time,wasm_opt_time,size,size_gzipped,frame_time
S,None,Off,One,None,Unwind,206.01161,0,38742648,9186515,27.21
S,S,Off,One,None,Unwind,206.01161,100.58246,24495631,7373754,26.44
S,Z,Off,One,None,Unwind,206.01161,107.67778,22122197,7318161,26.23
S,Three,Off,One,None,Unwind,206.01161,106.548454,25006615,7438226,25.3
S,Both,Off,One,None,Unwind,206.01161,88.168915,24495631,7373754,25.79
S,None,Off,One,None,Abort,209.6289,0,38743635,9185474,25.38
S,S,Off,One,None,Abort,209.6289,105.63397,24490563,7373355,26.12
S,Z,Off,One,None,Abort,209.6289,113.552795,22122546,7317921,26.41
S,Three,Off,One,None,Abort,209.6289,117.89191,25003658,7438074,26.74
S,Both,Off,One,None,Abort,209.6289,105.85758,24490563,7373355,27.86
S,None,Off,One,DebugInfo,Unwind,210.77454,0,38742648,9186515,26.29
S,S,Off,One,DebugInfo,Unwind,210.77454,103.846,24495631,7373754,26.31
S,Z,Off,One,DebugInfo,Unwind,210.77454,108.7604,22122197,7318161,27.59
S,Three,Off,One,DebugInfo,Unwind,210.77454,107.10816,25006615,7438226,27.24
S,Both,Off,One,DebugInfo,Unwind,210.77454,101.02984,24495631,7373754,26.97
S,None,Off,One,DebugInfo,Abort,199.1265,0,38743635,9185474,26.34
S,S,Off,One,DebugInfo,Abort,199.1265,95.923515,24490563,7373355,26.61
S,Z,Off,One,DebugInfo,Abort,199.1265,107.80997,22122546,7317921,27.67
S,Three,Off,One,DebugInfo,Abort,199.1265,112.36846,25003658,7438074,27.08
S,Both,Off,One,DebugInfo,Abort,199.1265,87.765625,24490563,7373355,26.66
S,None,Off,Default,None,Unwind,148.01732,0,59361166,11668983,32.1
S,S,Off,Default,None,Unwind,148.01732,180.35811,31411367,8399125,31.52
S,Z,Off,Default,None,Unwind,148.01732,190.58896,28211752,8335160,30.02
S,Three,Off,Default,None,Unwind,148.01732,197.86517,32511341,8662696,29.89
S,Both,Off,Default,None,Unwind,148.01732,186.27556,31411367,8399125,29.94
S,None,Off,Default,None,Abort,148.9644,0,59354952,11666291,31.2
S,S,Off,Default,None,Abort,148.9644,179.76874,31405560,8393617,31.77
S,Z,Off,Default,None,Abort,148.9644,176.10089,28203132,8326400,31.29
S,Three,Off,Default,None,Abort,148.9644,202.2313,32506557,8656676,31.93
S,Both,Off,Default,None,Abort,148.9644,190.56464,31405560,8393617,31.34
S,None,Off,Default,DebugInfo,Unwind,146.32016,0,59361166,11668983,32.25
S,S,Off,Default,DebugInfo,Unwind,146.32016,187.64734,31411367,8399125,31.6
S,Z,Off,Default,DebugInfo,Unwind,146.32016,190.99963,28211752,8335160,30.47
S,Three,Off,Default,DebugInfo,Unwind,146.32016,202.94534,32511341,8662696,30.92
S,Both,Off,Default,DebugInfo,Unwind,146.32016,187.07242,31411367,8399125,29.97
S,None,Off,Default,DebugInfo,Abort,146.27994,0,59354952,11666291,31.51
S,S,Off,Default,DebugInfo,Abort,146.27994,192.52934,31405560,8393617,30.65
S,Z,Off,Default,DebugInfo,Abort,146.27994,190.26,28203132,8326400,32.01
S,Three,Off,Default,DebugInfo,Abort,146.27994,180.40097,32506557,8656676,31.46
S,Both,Off,Default,DebugInfo,Abort,146.27994,158.3658,31405560,8393617,32.18
S,None,Thin,One,None,Unwind,281.9253,0,38830588,9051616,27.61
S,S,Thin,One,None,Unwind,281.9253,101.943535,25185305,7441313,26.34
S,Z,Thin,One,None,Unwind,281.9253,106.17682,22589786,7373034,26.21
S,Three,Thin,One,None,Unwind,281.9253,106.40596,25206246,7453559,26.26
S,Both,Thin,One,None,Unwind,281.9253,102.15206,25185305,7441313,25.64
S,None,Thin,One,None,Abort,277.96347,0,38821429,9048468,25.25
S,S,Thin,One,None,Abort,277.96347,87.64878,25179561,7438976,25.22
S,Z,Thin,One,None,Abort,277.96347,102.83912,22587520,7367948,26.86
S,Three,Thin,One,None,Abort,277.96347,97.96435,25200180,7448763,25.61
S,Both,Thin,One,None,Abort,277.96347,96.91974,25179561,7438976,26.56
S,None,Thin,One,DebugInfo,Unwind,273.4643,0,38830588,9051616,25.22
S,S,Thin,One,DebugInfo,Unwind,273.4643,96.00886,25185305,7441313,25.91
S,Z,Thin,One,DebugInfo,Unwind,273.4643,91.01817,22589786,7373034,26.78
S,Three,Thin,One,DebugInfo,Unwind,273.4643,97.873695,25206246,7453559,26.03
S,Both,Thin,One,DebugInfo,Unwind,273.4643,90.19884,25185305,7441313,25.86
S,None,Thin,One,DebugInfo,Abort,274.73944,0,38821429,9048468,27.94
S,S,Thin,One,DebugInfo,Abort,274.73944,95.87651,25179561,7438976,26.06
S,Z,Thin,One,DebugInfo,Abort,274.73944,107.361664,22587520,7367948,27.43
S,Three,Thin,One,DebugInfo,Abort,274.73944,102.562256,25200180,7448763,25.87
S,Both,Thin,One,DebugInfo,Abort,274.73944,91.6077,25179561,7438976,25.54
S,None,Thin,Default,None,Unwind,239.87233,0,55502757,11041419,25.78
S,S,Thin,Default,None,Unwind,239.87233,125.382935,31571285,8547683,26.74
S,Z,Thin,Default,None,Unwind,239.87233,132.56686,27060844,8403589,27.27
S,Three,Thin,Default,None,Unwind,239.87233,133.67851,31625169,8570478,25.69
S,Both,Thin,Default,None,Unwind,239.87233,121.88899,31571285,8547683,26.69
S,None,Thin,Default,None,Abort,237.22075,0,55498671,11047656,25.99
S,S,Thin,Default,None,Abort,237.22075,114.735435,31567051,8550017,25.25
S,Z,Thin,Default,None,Abort,237.22075,133.24269,27054302,8406624,27.24
S,Three,Thin,Default,None,Abort,237.22075,122.53379,31618789,8572877,27.18
S,Both,Thin,Default,None,Abort,237.22075,112.54786,31567051,8550017,26.37
S,None,Thin,Default,DebugInfo,Unwind,237.19337,0,55502757,11041419,25.65
S,S,Thin,Default,DebugInfo,Unwind,237.19337,105.15875,31571285,8547683,27.42
S,Z,Thin,Default,DebugInfo,Unwind,237.19337,130.8839,27060844,8403589,26.52
S,Three,Thin,Default,DebugInfo,Unwind,237.19337,133.28706,31625169,8570478,27.06
S,Both,Thin,Default,DebugInfo,Unwind,237.19337,126.79911,31571285,8547683,26.66
S,None,Thin,Default,DebugInfo,Abort,235.74376,0,55498671,11047656,26.24
S,S,Thin,Default,DebugInfo,Abort,235.74376,114.82163,31567051,8550017,25.69
S,Z,Thin,Default,DebugInfo,Abort,235.74376,130.05914,27054302,8406624,26.83
S,Three,Thin,Default,DebugInfo,Abort,235.74376,122.01306,31618789,8572877,25.45
S,Both,Thin,Default,DebugInfo,Abort,235.74376,110.29231,31567051,8550017,26.05
S,None,Fat,One,None,Unwind,555.33215,0,31584276,8271425,25.39
S,S,Fat,One,None,Unwind,555.33215,48.149494,22590217,6806047,25.83
S,Z,Fat,One,None,Unwind,555.33215,61.2658,20394401,6731809,26.49
S,Three,Fat,One,None,Unwind,555.33215,58.489536,22613433,6812368,25.91
S,Both,Fat,One,None,Unwind,555.33215,48.11379,22590217,6806047,25.54
S,None,Fat,One,None,Abort,558.53986,0,31642166,8278803,26.7
S,S,Fat,One,None,Abort,558.53986,56.616306,22622286,6810802,25.65
S,Z,Fat,One,None,Abort,558.53986,60.156345,20426490,6737898,24.42
S,Three,Fat,One,None,Abort,558.53986,61.368206,22645447,6816596,25.31
S,Both,Fat,One,None,Abort,558.53986,53.74038,22622286,6810802,25.04
S,None,Fat,One,DebugInfo,Unwind,556.2395,0,31584276,8271425,25.11
S,S,Fat,One,DebugInfo,Unwind,556.2395,55.269543,22590217,6806047,26.79
S,Z,Fat,One,DebugInfo,Unwind,556.2395,56.425053,20394401,6731809,25.15
S,Three,Fat,One,DebugInfo,Unwind,556.2395,54.682392,22613433,6812368,26.24
S,Both,Fat,One,DebugInfo,Unwind,556.2395,55.57686,22590217,6806047,25.21
S,None,Fat,One,DebugInfo,Abort,555.90594,0,31642166,8278803,26.11
S,S,Fat,One,DebugInfo,Abort,555.90594,51.31895,22622286,6810802,24.2
S,Z,Fat,One,DebugInfo,Abort,555.90594,60.13925,20426490,6737898,25.44
S,Three,Fat,One,DebugInfo,Abort,555.90594,60.23824,22645447,6816596,26.21
S,Both,Fat,One,DebugInfo,Abort,555.90594,56.370903,22622286,6810802,25.54
S,None,Fat,Default,None,Unwind,650.269,0,40438501,9465912,26.06
S,S,Fat,Default,None,Unwind,650.269,72.69549,26102458,7429442,25.62
S,Z,Fat,Default,None,Unwind,650.269,76.60736,23420643,7338800,27.37
S,Three,Fat,Default,None,Unwind,650.269,75.56733,26127019,7440810,26.25
S,Both,Fat,Default,None,Unwind,650.269,70.52029,26102458,7429442,26.48
S,None,Fat,Default,None,Abort,654.7536,0,40379264,9462456,25.86
S,S,Fat,Default,None,Abort,654.7536,69.258736,26071760,7424903,26.81
S,Z,Fat,Default,None,Abort,654.7536,69.47635,23382782,7334564,26.47
S,Three,Fat,Default,None,Abort,654.7536,74.63447,26096318,7435635,26.64
S,Both,Fat,Default,None,Abort,654.7536,71.01107,26071760,7424903,26.18
S,None,Fat,Default,DebugInfo,Unwind,643.01434,0,40438501,9465912,27.25
S,S,Fat,Default,DebugInfo,Unwind,643.01434,71.76071,26102458,7429442,26.49
S,Z,Fat,Default,DebugInfo,Unwind,643.01434,74.71161,23420643,7338800,26.4
S,Three,Fat,Default,DebugInfo,Unwind,643.01434,70.2838,26127019,7440810,27.02
S,Both,Fat,Default,DebugInfo,Unwind,643.01434,72.27373,26102458,7429442,26.13
S,None,Fat,Default,DebugInfo,Abort,642.54474,0,40379264,9462456,26.34
S,S,Fat,Default,DebugInfo,Abort,642.54474,69.28645,26071760,7424903,25.61
S,Z,Fat,Default,DebugInfo,Abort,642.54474,75.674324,23382782,7334564,26.09
S,Three,Fat,Default,DebugInfo,Abort,642.54474,77.54569,26096318,7435635,27.01
S,Both,Fat,Default,DebugInfo,Abort,642.54474,71.010605,26071760,7424903,25.87
Z,None,Off,One,None,Unwind,174.85478,0,38339409,9157170,38.19
Z,S,Off,One,None,Unwind,174.85478,130.64314,21348631,6621173,37.35
Z,Z,Off,One,None,Unwind,174.85478,129.7904,19917093,6600073,38.92
Z,Three,Off,One,None,Unwind,174.85478,130.62949,21747505,6687429,39.51
Z,Both,Off,One,None,Unwind,174.85478,123.80334,21348631,6621173,38.51
Z,None,Off,One,None,Abort,170.46788,0,38347249,9158492,38.09
Z,S,Off,One,None,Abort,170.46788,130.76884,21363951,6622743,37.6
Z,Z,Off,One,None,Abort,170.46788,136.5205,19936695,6604129,36.64
Z,Three,Off,One,None,Abort,170.46788,132.5048,21762780,6689669,39.09
Z,Both,Off,One,None,Abort,170.46788,128.70642,21363951,6622743,38.67
Z,None,Off,One,DebugInfo,Unwind,174.50328,0,38339409,9157170,37.54
Z,S,Off,One,DebugInfo,Unwind,174.50328,125.660255,21348631,6621173,39.32
Z,Z,Off,One,DebugInfo,Unwind,174.50328,120.91151,19917093,6600073,38.72
Z,Three,Off,One,DebugInfo,Unwind,174.50328,135.06435,21747505,6687429,38.53
Z,Both,Off,One,DebugInfo,Unwind,174.50328,122.53358,21348631,6621173,39.23
Z,None,Off,One,DebugInfo,Abort,170.07304,0,38347249,9158492,37.71
Z,S,Off,One,DebugInfo,Abort,170.07304,125.17332,21363951,6622743,39
Z,Z,Off,One,DebugInfo,Abort,170.07304,135.58548,19936695,6604129,38.17
Z,Three,Off,One,DebugInfo,Abort,170.07304,136.72523,21762780,6689669,38.3
Z,Both,Off,One,DebugInfo,Abort,170.07304,109.99436,21363951,6622743,39.5
Z,None,Off,Default,None,Unwind,132.57549,0,58368484,11788625,40.19
Z,S,Off,Default,None,Unwind,132.57549,171.38266,27567829,7730580,37.01
Z,Z,Off,Default,None,Unwind,132.57549,197.56575,25515217,7686724,39.34
Z,Three,Off,Default,None,Unwind,132.57549,197.14467,28417003,7962037,38.11
Z,Both,Off,Default,None,Unwind,132.57549,165.52184,27567829,7730580,37.67
Z,None,Off,Default,None,Abort,131.06511,0,58379263,11788685,39.23
Z,S,Off,Default,None,Abort,131.06511,186.10197,27575561,7731221,39.23
Z,Z,Off,Default,None,Abort,131.06511,159.30562,25517000,7687486,38.77
Z,Three,Off,Default,None,Abort,131.06511,203.87495,28425165,7960498,39.46
Z,Both,Off,Default,None,Abort,131.06511,165.20924,27575561,7731221,38.04
Z,None,Off,Default,DebugInfo,Unwind,130.85367,0,58368484,11788625,39.21
Z,S,Off,Default,DebugInfo,Unwind,130.85367,185.28067,27567829,7730580,38.68
Z,Z,Off,Default,DebugInfo,Unwind,130.85367,197.69615,25515217,7686724,36.26
Z,Three,Off,Default,DebugInfo,Unwind,130.85367,205.01303,28417003,7962037,36.52
