opt_level,wasm_opt,lto,codegen_units,strip,build_time,wasm_opt_time,size,size_gzipped,frame_time
S,None,Off,One,None,69.062325,0,27299745,6711142,23.52
S,S,Off,One,None,69.062325,61.21088,18000739,5529756,23.53
S,Z,Off,One,None,69.062325,64.32281,16218763,5480210,24.22
S,Three,Off,One,None,69.062325,67.62613,18304582,5577798,23.83
S,Both,Off,One,None,69.062325,63.13739,18000739,5529756,24.15
S,None,Off,One,DebugInfo,65.90337,0,27304901,6713936,24.52
S,S,Off,One,DebugInfo,65.90337,61.261883,18004724,5531760,23.61
S,Z,Off,One,DebugInfo,65.90337,62.585472,16227305,5483876,23.94
S,Three,Off,One,DebugInfo,65.90337,68.02623,18308682,5581182,24.26
S,Both,Off,One,DebugInfo,65.90337,61.777657,18004724,5531760,24
S,None,Off,Default,None,44.9032,0,38857072,8025191,25.77
S,S,Off,Default,None,44.9032,112.9976,21753304,6053698,24.81
S,Z,Off,Default,None,44.9032,119.112595,19782405,6014609,25.56
S,Three,Off,Default,None,44.9032,120.98399,22378485,6225062,26.8
S,Both,Off,Default,None,44.9032,111.85479,21753304,6053698,25.29
S,None,Off,Default,DebugInfo,44.30996,0,38824701,8018103,26.02
S,S,Off,Default,DebugInfo,44.30996,108.05531,21745625,6051669,24.22
S,Z,Off,Default,DebugInfo,44.30996,110.30417,19774876,6012239,25.37
S,Three,Off,Default,DebugInfo,44.30996,115.08514,22370505,6224004,24.84
S,Both,Off,Default,DebugInfo,44.30996,114.35207,21745625,6051669,25.37
S,None,Thin,One,None,82.6508,0,27425034,6621300,23.12
S,S,Thin,One,None,82.6508,58.962093,18571266,5585697,23.02
S,Z,Thin,One,None,82.6508,59.083035,16672795,5525532,22.98
S,Three,Thin,One,None,82.6508,60.553917,18565686,5595325,22.35
S,Both,Thin,One,None,82.6508,54.869408,18571266,5585697,23.15
S,None,Thin,One,DebugInfo,81.02228,0,27441180,6623021,22.54
S,S,Thin,One,DebugInfo,81.02228,59.165447,18586141,5583311,22.14
S,Z,Thin,One,DebugInfo,81.02228,58.995956,16675472,5526908,22.99
S,Three,Thin,One,DebugInfo,81.02228,61.84376,18580550,5593706,22.9
S,Both,Thin,One,DebugInfo,81.02228,56.220062,18586141,5583311,21.71
S,None,Thin,Default,None,68.602615,0,36450911,7637145,22.39
S,S,Thin,Default,None,68.602615,68.864075,21980588,6168971,22.63
S,Z,Thin,Default,None,68.602615,74.05933,18770557,6066856,21.72
S,Three,Thin,Default,None,68.602615,77.35613,21989065,6181723,22.04
S,Both,Thin,Default,None,68.602615,71.696335,21980588,6168971,22.33
S,None,Thin,Default,DebugInfo,67.74025,0,36468854,7649199,22.06
S,S,Thin,Default,DebugInfo,67.74025,70.64297,21982963,6174972,21.51
S,Z,Thin,Default,DebugInfo,67.74025,74.16822,18767908,6076149,21.64
S,Three,Thin,Default,DebugInfo,67.74025,77.35236,21989372,6191752,21.84
S,Both,Thin,Default,DebugInfo,67.74025,70.50463,21982963,6174972,22.79
S,None,Fat,One,None,194.4688,0,22510425,6058142,22.76
S,S,Fat,One,None,194.4688,31.585995,16769509,5133021,22.94
S,Z,Fat,One,None,194.4688,32.412167,15080204,5068773,22.55
S,Three,Fat,One,None,194.4688,36.602627,16767732,5134137,22.43
S,Both,Fat,One,None,194.4688,30.563883,16769509,5133021,21.94
S,None,Fat,One,DebugInfo,190.0653,0,22515625,6071988,23.2
S,S,Fat,One,DebugInfo,190.0653,30.02802,16768616,5141679,23.15
S,Z,Fat,One,DebugInfo,190.0653,32.00515,15095931,5080022,21.75
S,Three,Fat,One,DebugInfo,190.0653,36.251507,16766825,5141906,22.6
S,Both,Fat,One,DebugInfo,190.0653,30.649218,16768616,5141679,22.45
S,None,Fat,Default,None,215.16656,0,27094560,6675810,21.81
S,S,Fat,Default,None,215.16656,36.997818,18594198,5466343,22.39
S,Z,Fat,Default,None,215.16656,38.991917,16491068,5390472,22.51
S,Three,Fat,Default,None,215.16656,42.703323,18593092,5468779,21.72
S,Both,Fat,Default,None,215.16656,36.592453,18594198,5466343,22.28
S,None,Fat,Default,DebugInfo,215.0899,0,27081595,6667237,22.48
S,S,Fat,Default,DebugInfo,215.0899,37.365456,18599643,5462175,22.77
S,Z,Fat,Default,DebugInfo,215.0899,39.16677,16487533,5387328,22.72
S,Three,Fat,Default,DebugInfo,215.0899,43.4589,18598629,5463935,22
S,Both,Fat,Default,DebugInfo,215.0899,36.355007,18599643,5462175,21.85
Z,None,Off,One,None,55.616394,0,26061690,6610746,30.95
Z,S,Off,One,None,55.616394,81.97048,14992898,4924140,31.94
Z,Z,Off,One,None,55.616394,80.871086,13923617,4900683,30.91
Z,Three,Off,One,None,55.616394,85.976845,15182300,4966884,31.64
